img,Bmean,Gmean,Rmean,Bstd,Gstd,Rstd,crc,ira,irb,irc,ird,c_bb,c_bg,c_br,c_gg,c_gr,c_rr,adhocb1,adhocg1,adhocr1,adhocb2,adhocg2,adhocr2,class
ISIC_0026474,102.7748,104.5847,195.5019,11.3291,10.5118,7.4449,0.32954363,0.029272899,4.717267454,2.480608149,95.12054141,540.0575064,569.0090785,532.2527463,633.562549,588.5731586,588.2591525,0.701382984,0.65008695,0.851152259,0.578891083,0.555838812,0.791820702,NV
ISIC_0029965,102.2716,102.9927,202.8772,10.5034,9.5622,6.0622,0.351672904,0.050021017,4.557116744,1.749870642,43.47024019,630.6782767,631.4034251,498.5186574,651.3900954,515.2419485,449.0646148,0.5608698,0.541153926,0.821159023,0.628250869,0.636740507,0.86538407,NV
ISIC_0028849,165.4497,157.9779,200.8487,16.4599,10.7813,5.7225,0.253681942,0.054169383,4.060818725,5.713604085,131.5684065,1312.910774,1058.6592,736.6010981,874.3824988,619.0825267,455.1379032,0.813388126,0.862697793,0.936785968,0.852402799,0.881747349,0.93683876,NV
ISIC_0027936,119.153,108.8244,208.6876,10.2248,8.6369,8.3278,0.248553295,0.038751857,4.82632053,4.052032003,123.311026,608.8868084,562.9899999,394.9992006,559.0831468,401.2248447,325.3650689,0.633242441,0.600483174,0.858509359,0.704295917,0.704229427,0.901153257,NV
ISIC_0024500,98.8171,94.3015,185.8386,11.137,9.4353,7.0795,0.369501925,0.036471785,4.560743705,1.399427278,47.98128352,731.0160746,761.6415199,900.6226648,813.8020543,973.7325384,1261.669436,0.487100614,0.366006211,0.617429995,0.499964694,0.453074985,0.702362608,NV
ISIC_0030765,132.9608,138.2248,188.8478,17.737,13.4012,11.5491,0.28146415,0.027855056,4.47458104,4.259847945,174.6102414,1228.288239,1297.033766,1112.833534,1503.238386,1347.972142,1269.830726,0.626193289,0.435104869,0.646391441,0.623661993,0.561856997,0.73283637,NV
ISIC_0024742,88.5247,88.1384,195.5325,7.469,7.6477,5.8982,0.31307674,0.042861068,4.589117562,3.885028267,93.50717037,324.7067955,342.1511546,351.8878373,382.602754,392.7688971,439.1608724,0.747085425,0.720391234,0.883424869,0.689217655,0.658033651,0.84508123,NV
ISIC_0031104,134.314,133.3262,221.9859,10.5874,8.5688,6.2645,0.27298195,0.030230202,4.335848013,3.656985236,160.6064774,564.4340667,504.230457,296.331625,466.1370016,275.9108216,177.8918873,0.690024969,0.713521437,0.912472794,0.813415136,0.833121479,0.945396939,NV
ISIC_0032708,105.7257,110.6111,140.4038,16.5814,13.1342,7.6305,0.324882563,0.043340946,4.697861113,1.573883738,47.64846861,1327.192853,1235.586276,918.6145074,1178.317996,892.756301,717.0352212,0.294333111,0.318376676,0.587114889,0.479426548,0.547629529,0.748054958,NV
ISIC_0027471,131.6192,144.7155,190.4484,17.3125,8.8027,5.4704,0.264287676,0.044414927,4.41140541,4.249226863,119.0055253,896.4332083,576.7023277,377.0056996,392.1419169,266.3400335,195.7206884,0.729356149,0.86311524,0.937078235,0.752592836,0.868504971,0.947068478,NV
ISIC_0029016,101.0456,105.5596,196.8094,12.6675,11.5681,8.053,0.24840293,0.02977798,4.473380456,4.03664165,180.0492674,851.7165775,994.210927,1228.146225,1187.469164,1496.295475,2091.024425,0.459582428,0.301339235,0.513327753,0.579490748,0.502408122,0.683552525,NV
ISIC_0026633,155.582,138.9787,165.9018,15.6121,9.6586,5.5449,0.328467355,0.086904997,3.484608837,5.211654729,75.67311038,1002.774252,610.8605958,339.9005841,380.7148044,211.3432219,124.3147559,0.634307091,0.752458471,0.891459303,0.838717444,0.885302068,0.943959722,NV
ISIC_0026414,137.0701,140.0117,199.0866,19.6299,16.8086,9.5948,0.149702337,0.04702905,5.469614173,18.29382848,251.0923046,1307.709527,1139.099181,781.8642535,1021.31704,707.9605514,514.1124734,0.768078314,0.810786571,0.920409726,0.784632682,0.804611671,0.903039097,NV
ISIC_0024464,128.7694,124.9166,200.5847,14.4707,13.4623,8.5628,0.332307594,0.018032589,4.274454453,2.762431488,192.4959464,579.7324534,571.2884393,473.8650326,591.0748754,485.0941924,426.0069205,0.725709485,0.683371509,0.846187658,0.725110309,0.709311,0.858811819,NV
ISIC_0028699,96.7824,81.3587,178.3974,10.7734,10.3221,6.9239,0.287804163,0.0362465,4.441746146,3.137329253,112.2061404,394.0881801,347.395834,288.1942562,335.5804655,269.6594439,246.7850056,0.768114033,0.716129535,0.911376021,0.762453827,0.744760765,0.916029128,NV
ISIC_0029267,108.303,101.7111,211.9337,9.8666,10.0369,5.8133,0.305732956,0.021945301,4.580098364,2.646031359,149.6650077,489.1278053,501.566551,267.2264566,547.7648274,279.440594,174.0476325,0.587854997,0.519891563,0.872842909,0.750913056,0.718251408,0.94005459,NV
ISIC_0031333,143.4154,146.6817,240.6778,12.1978,9.262,5.175,0.343850847,0.04379792,4.266445145,2.736273689,76.38229967,553.7676422,450.4701786,279.5627115,377.5817572,234.7985258,161.1674882,0.72838304,0.778060348,0.919523268,0.789780514,0.83205173,0.945344757,NV
ISIC_0031476,130.921,138.099,163.437,20.4752,16.3745,10.2522,0.350779886,0.04851752,4.813361953,1.394678632,34.44509926,1066.360809,930.9462075,624.4808825,823.7020924,555.4261304,383.6729441,0.709307826,0.760471058,0.87619966,0.623572657,0.685282845,0.822288329,NV
ISIC_0031452,121.1896,118.4768,215.3196,12.6031,9.6736,6.1185,0.21749803,0.034620893,4.326589873,7.098067661,239.5230214,405.7642583,331.4763639,200.8831041,291.0175993,174.8784039,117.7584828,0.994157897,1.005376771,1.001160939,0.865121467,0.895553299,0.965557866,NV
ISIC_0030576,95.0276,95.0059,194.3072,8.8994,8.419,6.4917,0.300650543,0.018084882,3.862552232,4.984451724,336.9448224,326.3373809,360.7542915,287.0543567,434.1292272,323.0814338,277.9327951,0.710605713,0.650065101,0.88752635,0.768194911,0.704167088,0.912591712,NV
ISIC_0025667,114.6948,154.6334,222.0396,13.2913,9.1945,3.1205,0.258394327,0.031687013,5.110494958,3.805698934,128.1201151,814.2342662,735.7059423,439.717113,703.9627212,440.0162233,303.0671886,0.649272253,0.767235304,0.898592546,0.634089195,0.765042992,0.909507047,NV
ISIC_0026672,119.2835,134.208,190.2026,17.2645,14.4362,6.4726,0.267998757,0.038860604,4.495870583,4.198632663,129.5378285,806.3533588,703.0756359,406.5184481,638.602725,369.7602,236.7882171,0.83204883,0.837855414,0.948534839,0.771769182,0.802291746,0.930085845,NV
ISIC_0026547,109.1323,106.5196,207.8861,11.0434,9.8698,6.3091,0.212036686,0.024217102,4.493864191,5.503559467,299.6346791,560.2076295,535.6164381,335.8284301,540.9041212,337.130332,228.1135611,0.648318533,0.63376323,0.883605231,0.773742769,0.770248576,0.923163631,NV
ISIC_0027412,155.7988,166.5718,224.2387,21.1922,12.6858,7.2573,0.33607587,0.025015069,4.335847726,2.623611801,129.8974538,1331.812918,1220.473967,1013.975872,1195.439094,1048.116986,986.8335005,0.775919089,0.809358263,0.926537131,0.748884457,0.796387026,0.895370236,NV
ISIC_0025566,111.3261,122.5107,224.4443,13.1077,11.679,7.9627,0.358105551,0.018695873,4.268401289,2.933147485,179.0092966,559.9946323,563.9086049,320.220396,602.5485986,330.0001853,209.7595967,0.824360039,0.791216771,0.946543846,0.721033483,0.735951547,0.92394237,NV
ISIC_0028430,118.1614,130.1292,165.0204,18.99,14.0863,10.3523,0.248728704,0.035067212,4.785875919,4.327318054,142.8727025,1464.402416,1191.493313,872.4342117,1010.343103,745.0320936,557.004924,0.460600312,0.596667016,0.782020437,0.602163587,0.695090687,0.820597325,NV
ISIC_0030345,156.7275,151.9839,235.8202,9.3841,5.876,3.6948,0.215164069,0.035335387,4.468783705,5.741984138,207.8855461,150.5039419,112.2440328,45.72539051,103.2009072,39.92087432,28.34397701,0.902813762,0.897069238,0.972236341,0.930262498,0.930696765,0.985812532,NV
ISIC_0027853,110.497,120.8461,174.6855,9.1486,6.4444,8.3557,0.201777574,0.025490073,4.840362383,5.70668403,272.973666,634.7946066,672.0316641,942.0498033,741.9536255,1049.557068,1530.931569,0.618586875,0.639021787,0.639311036,0.728105902,0.751312969,0.753926406,NV
ISIC_0027974,144.8336,139.6021,228.5528,12.6403,11.1596,6.1117,0.262061903,0.033895055,4.076299262,4.942702467,190.1031649,826.9181361,608.3798511,366.5242031,546.5414832,307.6164237,194.2374184,0.722161385,0.818310858,0.932711998,0.763460376,0.869254244,0.947869021,NV
ISIC_0027839,142.2775,134.2595,166.9102,21.07,17.0945,15.2428,0.294312619,0.037303942,4.720828347,2.93790191,92.95833423,1846.188586,1771.521779,1557.570139,1785.921589,1628.046228,1651.616906,0.684763186,0.621017149,0.661008898,0.518554233,0.484582882,0.6147523,NV
ISIC_0031687,89.2465,89.3464,193.1143,10.8041,9.1874,6.0913,0.231687364,0.026810576,4.213304701,5.651166269,274.930277,474.9921162,457.8841212,410.1499173,468.7710986,417.8876656,406.4318754,0.66919904,0.672453821,0.879859728,0.681405491,0.666628809,0.868854253,NV
ISIC_0034121,147.4019,139.0532,172.0901,16.5084,14.2113,10.5244,0.366543379,0.070506311,4.56302828,1.363800989,24.50821565,1487.760886,1324.994587,1242.249453,1200.151568,1128.891494,1128.867047,0.664510156,0.658193008,0.661685603,0.6094108,0.634700909,0.724385069,NV
ISIC_0025416,100.2648,115.1021,203.6448,9.7155,9.7533,6.4307,0.254928628,0.023152581,4.589917921,3.889313811,212.6587152,587.8205985,678.1752755,541.6183425,824.6032473,653.672823,550.7343119,0.664356834,0.61133898,0.85409973,0.685068426,0.664966822,0.864603396,NV
ISIC_0030222,93.1313,82.9999,175.3987,10.0337,8.0647,8.0074,0.284326361,0.036327787,4.314553177,3.080311505,117.3983939,516.5089134,466.5948223,597.915919,465.063817,587.1528554,845.2888583,0.59772526,0.553096945,0.682212763,0.645539991,0.624519805,0.779481813,NV
ISIC_0030628,95.399,94.0992,183.9595,10.702,10.2764,8.3597,0.331339776,0.030619311,4.607486555,1.545400409,67.48677179,577.7581872,643.1687169,767.4082048,750.5165604,900.1543538,1135.874319,0.548195035,0.414986094,0.668012579,0.561763303,0.49922674,0.710390015,NV
ISIC_0032663,148.9056,130.9353,189.591,19.7065,18.5957,14.779,0.268927157,0.033648485,5.01426239,3.836741692,119.9920382,2016.551374,2002.916875,2161.598706,2041.644589,2227.628558,2629.515179,0.507318786,0.273129979,0.537897044,0.428598368,0.316780654,0.526389931,NV
ISIC_0027500,122.0717,126.1757,221.4971,9.2211,7.0737,5.6446,0.276842822,0.0354443,5.015175007,2.51059194,85.14305758,443.2420959,411.4784509,254.9394808,404.913289,255.9858232,179.3000511,0.662614881,0.672736973,0.884712983,0.78143478,0.802904449,0.934098655,NV
ISIC_0033132,118.2062,117.0329,173.7621,16.0733,12.2356,7.7728,0.241117511,0.025043646,5.424913907,2.910035729,133.8646251,606.9115176,456.8789423,269.0873294,367.2532626,221.6466616,159.106651,0.902022673,0.906294935,0.972276974,0.744207095,0.796150206,0.929144185,NV
ISIC_0024606,121.4226,94.2786,195.8852,7.437,7.6147,5.3694,0.225476667,0.023845981,5.450095042,2.875364775,148.0312756,306.8641925,294.1093183,180.4806743,304.0366971,173.1365008,128.3145504,0.742543392,0.669440188,0.922935262,0.832828352,0.764508005,0.944887021,NV
ISIC_0030902,111.4271,120.4514,211.7861,9.5915,9.2907,5.2102,0.297286637,0.024620506,4.849857685,2.124830104,107.7922972,379.8140716,508.519415,326.6919052,826.6415041,477.377843,322.6390244,0.71800718,0.451883802,0.836639249,0.733005337,0.662817127,0.887354646,NV
ISIC_0025958,116.9097,115.5275,154.4437,13.4691,11.5559,7.6313,0.238143883,0.028570544,4.585178686,4.87862625,207.5425745,749.1806101,558.0956416,357.3386224,469.1142298,301.85379,200.9659739,0.881799874,0.817294367,0.914966252,0.875547992,0.836576255,0.924651522,NV
ISIC_0028394,108.1329,98.9347,199.7905,10.7265,8.3609,5.2736,0.295440958,0.030806322,4.982111789,2.378333122,89.50230826,634.2522087,580.7301628,491.695043,560.1069463,478.8205915,443.1952894,0.571252849,0.516483389,0.797935196,0.621324879,0.629634337,0.859982199,NV
ISIC_0032428,124.3203,135.1963,164.102,17.0014,13.0076,10.3482,0.305794506,0.033338745,3.955713602,3.686001787,150.2278839,1570.358837,1373.078102,1036.562593,1295.844473,1008.189505,806.2145094,0.863406177,0.815227937,0.868943693,0.53745438,0.637021554,0.779233115,NV
ISIC_0030704,133.6342,123.3132,189.9816,19.3745,17.832,9.7264,0.305719384,0.03440823,4.69366312,2.557765042,89.72831448,1614.579826,1420.747275,999.4430627,1277.087142,895.4077038,653.2675866,0.688930068,0.646040496,0.856525727,0.538230702,0.539839973,0.801479911,NV
ISIC_0031991,124.8142,138.0121,174.0119,16.8271,14.4065,10.1941,0.192319176,0.04051371,5.110999996,8.518729155,197.1272855,719.2428996,650.7591275,483.0485093,604.4158453,460.4016497,367.6707636,0.876680594,0.860921428,0.890348086,0.778246099,0.80479782,0.875982976,NV
ISIC_0032996,145.1818,148.8262,202.8107,19.8954,17.5494,8.9182,0.338923173,0.039508045,4.087543721,3.047238305,98.00904032,1878.017264,1710.459651,1065.809708,1593.724175,991.8231181,659.6522594,0.429331072,0.467722668,0.760309364,0.58084238,0.636289588,0.834999852,NV
ISIC_0026665,121.3332,147.6132,189.1638,15.17,10.0806,3.8205,0.261401113,0.047014445,4.933112721,4.980344182,104.0792349,851.1980885,671.5556029,324.7784084,564.0097305,273.7190189,143.2275834,0.638150785,0.757486401,0.902832692,0.731987986,0.816168286,0.936996045,NV
ISIC_0029649,112.7725,122.9307,214.4511,13.4258,11.9371,8.8845,0.297877677,0.028605807,5.061736782,1.8258129,77.19504998,600.7290869,637.8974429,538.8806298,704.1863186,608.1709357,583.9210929,0.77750286,0.764535611,0.902561314,0.644778942,0.659399858,0.849444709,NV
ISIC_0027474,118.8373,117.6097,212.9664,13.1355,15.0398,10.6321,0.288498171,0.018292355,4.734464875,2.905049681,191.158608,337.8267154,402.1089979,283.0820557,591.3428827,392.1455288,333.5380063,1.054799273,0.901181814,0.978945541,0.849707719,0.704353531,0.897954797,NV
ISIC_0031247,140.2586,135.442,180.5962,21.3278,13.2793,8.2609,0.385431791,0.091024663,4.417397231,1.971386731,25.00749545,2279.906941,1743.063449,1140.040214,1387.746847,907.2120568,613.1857746,0.459835343,0.542468208,0.827030293,0.500200054,0.611308172,0.809197828,NV
ISIC_0027772,118.4547,124.7706,174.3387,14.175,11.3269,5.896,0.376775124,0.044329168,4.479683655,1.521929716,42.56935568,597.58925,436.300512,261.8421085,356.7062679,198.6835581,152.2559952,0.75811812,0.781355356,0.895914709,0.692710092,0.767840235,0.916868546,NV
ISIC_0025200,114.1731,126.6019,225.7403,12.5821,11.0082,7.5832,0.31350381,0.027216922,4.285956823,3.148386611,145.4472303,740.3649913,807.6735333,606.4410797,917.193316,694.6022575,548.9400743,0.701333707,0.652357797,0.871771542,0.709241537,0.693430933,0.881906118,NV
ISIC_0032969,110.9199,117.3751,171.5797,17.208,12.7328,7.6408,0.30377702,0.040141861,4.788885027,2.581808294,75.33875939,896.4863632,750.5385112,626.4825433,678.8749718,570.4055931,522.2174759,0.564414941,0.584826506,0.750949396,0.621289857,0.714621021,0.835767529,NV
ISIC_0025464,108.1474,90.3434,191.1034,11.3495,9.7023,6.7822,0.282658562,0.027127739,4.780327537,2.881913281,128.8787615,668.311383,609.9842801,697.4676379,579.9483001,656.7970513,866.0755806,0.567143432,0.482408776,0.739682617,0.59084489,0.540509765,0.783066526,NV
ISIC_0027112,135.499,139.3051,167.2175,12.7444,9.1291,6.7872,0.314886336,0.054790397,4.412526421,3.193952086,69.27695888,576.895592,433.1793872,306.6766805,357.5823471,254.7403229,185.5335189,0.834052554,0.815491506,0.883333615,0.781933363,0.81284884,0.886567101,NV
ISIC_0026406,120.8699,121.7896,154.6228,9.3371,7.0217,3.7088,0.28508724,0.026412883,5.115698043,1.697518127,81.23691008,174.0643696,125.4063528,61.13230116,99.42775831,47.57620227,28.35206573,1.044157232,1.006068066,1.015709971,0.877712747,0.911497601,0.976549131,NV
ISIC_0028704,101.7569,99.1534,195.9762,9.878,8.1127,5.5575,0.242361569,0.035495478,4.884281846,3.812976314,131.0490524,357.3453149,328.4327535,278.2157018,323.7277061,269.7589462,277.8649475,0.720383475,0.719924151,0.908392365,0.744240109,0.765052614,0.914935341,NV
ISIC_0026777,136.8849,122.2063,166.9331,15.2637,10.3763,6.9934,0.237122929,0.028693557,4.258161073,6.371417048,259.8541256,1012.413565,691.8857276,501.3392087,485.5955681,352.1240926,264.8054826,0.632201383,0.712246797,0.854894302,0.882379784,0.89864544,0.950722331,NV
ISIC_0029328,157.5759,154.2701,192.3174,24.3684,17.822,17.8243,0.373685279,0.053014466,4.475455175,1.864544825,41.66156854,2550.91697,2070.24083,1688.633827,1792.658982,1531.475004,1408.784247,0.716391005,0.692711706,0.750256376,0.574560711,0.626338793,0.739659653,NV
ISIC_0032832,115.5919,129.7389,167.9028,13.4686,9.1749,5.8947,0.17786453,0.039057268,5.142593108,9.34600042,226.7857855,873.8262596,699.40529,502.7184054,585.5017596,424.5964468,316.2917141,0.392544596,0.537849231,0.740107778,0.771305666,0.833613994,0.91004145,NV
ISIC_0030971,120.6018,120.636,214.4913,10.5485,8.3734,5.2817,0.228310897,0.033020831,5.689354529,1.94995442,74.74504115,478.6749858,426.9280201,212.8517974,405.6751505,200.6291095,111.3981827,0.692730254,0.712784348,0.924609768,0.778658635,0.808739975,0.944530497,NV
ISIC_0029846,105.8549,107.2692,131.813,14.0351,17.0377,14.2953,0.366626561,0.068243611,4.329517159,1.785163332,33.85076132,1214.373659,1356.641494,1440.316813,1565.490983,1650.853893,1768.957849,0.304950882,0.220157818,0.3085334,0.601766883,0.538546101,0.609233118,NV
ISIC_0026890,168.7349,170.2325,208.1156,19.8332,12.9049,7.1059,0.369337654,0.094463395,4.470756305,2.071454973,25.49602259,2297.588904,1524.713396,952.4267555,1034.549611,649.8565003,422.218702,0.478340929,0.653990694,0.821375165,0.664522177,0.778116855,0.885790684,NV
ISIC_0032345,151.8985,139.345,176.3237,18.5949,13.3809,9.5888,0.314039426,0.051407427,4.939906577,1.769982567,41.54459266,1914.706932,1634.135213,1245.875833,1479.105125,1179.635433,1010.20583,0.636736692,0.599222741,0.75383138,0.589742662,0.624302775,0.77587349,NV
ISIC_0030699,120.7592,112.0948,217.787,11.6497,10.4852,7.0741,0.232740137,0.019028832,4.390534779,4.900487843,340.6940928,593.0122855,523.6427469,389.6836781,532.8420172,369.1028858,306.5309732,1.170594568,1.160346455,1.053506075,0.868264928,0.871424146,0.980147707,NV
ISIC_0032878,142.0393,160.5626,206.5858,20.5138,15.8745,7.6793,0.217272902,0.026323991,4.682739216,5.853058732,260.5240448,1353.575997,1181.497628,682.6748296,1095.99999,674.422373,492.6663941,0.68537783,0.753521436,0.869335223,0.855019793,0.904185301,0.97135964,NV
